indicativo,p_max,n_fog,inso,nw_55,tm_min,ta_max,ts_min,nt_30,w_racha,np_100,p_sol,nw_91,np_001,ta_min,np_300,evap,p_mes,n_tor,w_med,nt_00,ti_max,tm_mes,tm_max,np_010,fecha,n_gra,n_llu,n_nie,w_rec,n_cub,q_max,q_med,nv_0050,n_des,n_nub,nv_1000,nv_0100,q_min,hr,q_mar,e,glo
6155A,0.3(03),3,8.5,1,19.1,33.6(24),23.2,12,29/15.6(25),0,69,0,1,14.6(30),0,896,0.3,1,13,0,24.6,24,29,0,2004-09,0,4,0,311,3,1022.2(22),1016.4,0,12,15,1,0,1009.5(01),65,1017.3,194,NA
6155A,17.0(27),2,6.7,2,14.9,28.6(07),18.2,0,34/19.2(25),1,59,0,7,6.0(25),0,786,22.4,0,13,0,19,19.8,24.8,2,2004-10,0,10,0,338,6,1023.0(02),1014.4,0,7,18,0,0,1003.9(27),68,1015.2,159,NA
6155A,62.1(30),2,5.9,5,10.8,23.4(02),16.2,0,34/18.1(11),1,58,0,5,4.0(16),1,709,73.3,0,12,0,15.8,15.3,19.8,3,2004-11,0,6,0,331,5,1029.5(17),1018.5,0,7,18,0,0,1003.1(30),70,1019.4,122,NA
6155A,32.2(03),0,6.2,10,8.9,22.0(18),15,0,32/22.8(25),4,63,0,8,4.0(25),1,860,109,1,19,0,12,13.1,17.2,7,2004-12,0,8,0,482,2,1031.2(31),1018.3,0,7,22,0,0,985.0(01),66,1019.2,100,NA
6155A,102.1(27/mar),16,8.2,58,14.1,38.2(16/ago),25.6,54,28/24.2(03/may),16,66,0,54,2.0(20/ene),7,9977,683.9,8,14,0,12,18.7,23.3,36,2004-13,1,70,0,364,48,1038.6(04/feb),1016.5,0,124,194,2,0,985.0(01/dic),66,1017.3,149,NA
6155A,2.0(30),1,7.2,5,5.6,23.0(22),11.4,0,30/17.5(19),0,71,0,1,-0.2(27),0,700,2,0,15,1,9.4,11.1,16.5,1,2005-01,0,1,0,408,0,1036.7(06),1025.4,0,16,15,0,0,1010.2(27),61,1026.2,85,NA
6155A,37.0(28),0,7.5,4,5.5,24.4(13),9.6,0,32/19.2(21),4,69,0,8,1.6(01),1,692,110.3,3,15,0,10.6,10.9,16.2,6,2005-02,1,8,0,396,3,1039.1(11),1017.1,0,14,11,0,0,994.3(28),63,1018,84,NA
6155A,25.2(01),0,5.7,1,10,25.6(30),15,0,30/16.1(29),3,47,0,10,3.6(10),0,440,60.1,0,13,0,9.4,14.1,18.2,6,2005-03,0,14,0,341,11,1029.2(17),1017.3,0,2,18,0,0,997.9(01),72,1018.2,119,NA
6155A,20.5(02),1,9.6,6,12.3,30.0(21),17,1,32/19.7(15),1,73,0,3,8.4(14),0,1228,21.9,0,16,0,16.4,17.4,22.4,2,2005-04,0,3,0,415,4,1026.8(05),1015.6,0,9,17,0,0,1006.6(08),57,1016.4,115,NA
6155A,6.0(29),0,9.8,2,15.7,32.6(08),19.6,4,28/15.6(02),0,69,0,4,12.0(01),0,1034,6.8,3,15,0,22,20.9,26,1,2005-05,0,9,0,352,4,1021.6(24),1015.5,0,10,17,0,0,1008.2(11),53,1016.3,135,NA
