indicativo,p_max,n_fog,inso,nw_55,tm_min,ta_max,ts_min,nt_30,w_racha,np_100,p_sol,nw_91,np_001,ta_min,np_300,evap,p_mes,n_tor,w_med,nt_00,ti_max,tm_mes,tm_max,np_010,fecha,n_gra,n_llu,n_nie,w_rec,n_cub,q_max,q_med,nv_0050,n_des,n_nub,nv_1000,nv_0100,q_min,hr,q_mar,e,glo
6155A,9.7(18),1,6.2,6,9.9,23.9(22),15.9,0,29/22.2(14),0,57,0,9,2.9(17),0,NA,23,0,14,0,12.2,14.6,19.1,5,2016-02,0,9,0,348,4,1033.8(04),1020.4,0,4,21,0,0,1002.4(27),61,1021.3,103,NA
6155A,3.4(07),0,8.3,7,9.9,26.6(25),14.2,0,34/16.1(10),0,69,0,5,4.9(12),0,NA,10.6,1,17,0,15.8,15.3,20.6,5,2016-03,0,5,0,387,1,1026.1(01),1016.1,0,9,21,0,0,1005.7(07),52,1017,89,NA
6155A,13.4(19),0,7.4,4,12.8,27.1(28),17.7,0,22/17.5(04),1,56,0,5,7.8(02),0,NA,22,0,14,0,16.7,17.8,22.6,4,2016-04,0,5,0,279,4,1021.9(21),1013.3,0,5,21,0,0,1004.1(04),59,1014.1,125,NA
6155A,31.3(06),0,8.6,4,15.5,31.3(19),18.5,4,08/18.6(10),5,60,0,10,10.9(03),1,NA,102.1,0,14,0,17.4,19.8,24.1,8,2016-05,0,10,0,297,6,1022.4(01),1014.4,0,9,16,0,0,1001.5(08),60,1015.2,141,NA
6155A,0.3(28),0,12.2,0,19,39.7(13),25.9,9,99/15.0(14),0,83,0,1,14.6(01),0,NA,0.3,0,15,0,25.1,24,29.1,0,2016-06,0,1,0,322,1,1025.1(19),1014.9,0,20,9,0,0,1005.8(15),53,1015.7,166,NA
6155A,0.7(06),0,11.4,1,22.2,39.0(22),24.4,20,17/18.1(12),0,80,0,1,20.0(17),0,NA,0.7,0,13,0,27.6,26.6,31,0,2016-07,0,4,0,283,0,1020.6(19),1015.4,0,23,8,0,0,1009.3(12),59,1016.2,213,NA
6155A,0.0(--),0,11.2,1,23.2,41.7(04),28.3,11,09/17.5(05),0,83,0,0,19.8(09),0,NA,0,0,13,0,27.3,27.4,31.6,0,2016-08,0,0,0,285,2,1022.7(07),1016.7,0,14,15,0,0,1007.1(18),63,1017.5,229,NA
6155A,2.0(13),0,10.8,1,19.8,35.0(05),24,8,11/16.9(29),0,87,0,1,15.4(18),0,NA,2,0,13,0,25.4,24.4,28.9,1,2016-09,0,2,0,264,2,1023.8(28),1017,0,17,11,0,0,1011.8(13),61,1017.8,190,NA
6155A,27.0(12),0,8.1,0,17.1,29.6(11),20.9,0,26/13.3(24),2,72,0,4,12.7(15),0,NA,40.7,0,11,0,20.2,21.2,25.2,3,2016-10,0,4,0,226,4,1029.0(28),1015.5,0,6,21,0,0,1001.6(13),75,1016.3,187,NA
6155A,74.7(25),0,6.2,4,11.3,24.5(03),18.7,0,20/19.7(21),4,61,0,9,6.8(24),2,NA,163,0,13,0,14.5,15.6,19.9,7,2016-11,0,10,0,313,9,1026.3(08),1015.8,0,8,13,0,0,1001.5(22),69,1016.6,125,NA
6155A,52.7(03),1,4.9,2,10.2,20.4(06),14.7,0,11/16.4(04),5,51,0,9,5.2(27),2,NA,157.9,0,11,0,14.5,13.9,17.6,9,2016-12,0,9,0,274,9,1036.6(24),1024.5,0,5,17,0,0,1006.8(04),79,1025.3,127,NA
6155A,74.7(25/nov),2,8.4,33,15,41.7(04/ago),28.3,52,29/22.2(14/feb),18,68,0,60,2.9(17/feb),6,NA,570.3,3,13,0,12.2,19.6,24.1,47,2016-13,0,68,0,298,46,1036.6(24/dic),1017.3,0,122,198,0,0,1001.5(08/may),63,1018.1,151,NA
6155A,9.4(26),0,6.8,3,7.5,21.6(11),11.3,0,29/16.1(11),0,68,0,4,2.9(18),0,NA,12.1,0,16,0,9.6,12.4,17.2,3,2017-01,0,4,0,407,1,1029.5(07),1020.9,0,13,17,0,0,1010.8(19),60,1021.7,89,NA
6155A,24.6(10),0,6.9,6,10.2,22.3(07),14.6,0,22/18.9(13),4,64,0,11,5.2(09),0,NA,100,2,15,0,11.1,14.4,18.5,7,2017-02,0,11,0,352,7,1030.2(16),1018.7,0,1,20,0,0,997.2(12),69,1019.5,115,NA
6155A,27.3(14),1,8.7,8,10.1,27.9(07),15.9,0,25/18.6(26),1,73,0,6,4.7(25),0,NA,35.6,1,16,0,14,15.3,20.5,4,2017-03,0,6,0,360,2,1027.6(09),1018.7,0,8,21,0,0,1007.6(03),62,1019.5,109,NA
6155A,29.0(27),0,9.8,4,12.9,32.3(15),19.7,2,11/18.1(28),2,75,0,4,7.7(05),0,NA,58,1,16,0,15.4,17.6,22.3,3,2017-04,0,4,0,353,4,1023.9(10),1017.1,0,10,16,0,0,1006.3(26),64,1017.9,130,NA
6155A,29.0(12),0,10.9,0,15.7,31.3(18),20.2,2,20/13.3(10),1,78,0,2,11.0(03),0,NA,31,1,14,0,20.8,20.5,25.4,2,2017-05,0,2,0,284,3,1026.1(15),1015.3,0,6,22,0,0,1003.0(11),57,1016.1,145,NA
6155A,0.0(--),0,11.7,1,20.7,37.4(26),25,14,31/15.3(30),0,80,0,0,18.3(10),0,NA,0,0,14,0,25.9,25.3,30,0,2017-06,0,0,0,294,1,1020.4(23),1014.5,0,20,9,0,0,1007.9(26),55,1015.3,185,NA
6155A,0.0(--),1,11.2,0,21.4,35.6(21),26.2,17,29/12.5(20),0,78,0,0,17.8(02),0,NA,0,0,13,0,25.8,25.7,30,0,2017-07,0,0,0,272,1,1022.0(02),1014.1,0,22,8,0,0,1006.7(31),60,1014.9,208,NA
6155A,3.6(28),0,9.9,0,22.1,40.3(08),24.8,17,99/13.3(08),0,73,0,2,18.2(29),0,NA,4.3,0,13,0,28.4,26.4,30.7,1,2017-08,0,2,0,262,3,1020.4(10),1014.8,0,12,16,0,0,1009.0(08),62,1015.6,221,NA
6155A,1.5(27),0,9.9,0,19.3,38.0(04),24.3,10,29/13.9(09),0,80,0,1,14.7(21),0,NA,1.5,0,13,0,24.2,24.5,29.6,1,2017-09,0,1,0,273,1,1022.9(28),1016.4,0,15,14,0,0,1006.4(09),60,1017.2,182,NA
6155A,23.4(17),2,8,1,16.1,30.5(06),19.3,1,29/16.1(18),2,71,0,2,11.6(28),0,NA,46.2,1,10,0,21.3,20.8,25.5,2,2017-10,0,2,0,228,1,1026.8(26),1020.6,0,11,19,0,0,1010.0(19),73,1021.4,181,NA
6155A,18.1(29),0,6.7,0,10.7,25.6(12),17.7,0,28/13.3(10),2,66,0,4,5.5(22),0,NA,42.8,2,12,0,16.4,15.9,21.1,4,2017-11,0,4,0,290,2,1028.4(27),1018.7,0,12,16,0,0,1004.1(29),70,1019.6,130,NA
6155A,11.4(11),0,6,5,8,21.7(15),15.4,0,24/22.2(11),1,62,0,3,2.5(04),0,NA,12.5,0,15,0,14.4,13,17.9,1,2017-12,0,3,0,374,2,1038.0(21),1024.6,0,8,21,0,0,997.6(11),65,1025.4,101,NA
6155A,29.0(27/abr),4,8.9,28,14.6,40.3(08/ago),26.2,63,24/22.2(11/dic),13,72,0,39,2.5(04/dic),0,NA,344,8,14,0,9.6,19.3,24.1,28,2017-13,0,39,0,312,28,1038.0(21/dic),1017.9,0,138,199,0,0,997.2(12/feb),63,1018.7,150,NA
6155A,19.8(08),1,5.5,11,8.6,22.6(21),14.3,0,10/26.4(28),2,55,1,9,3.3(16),0,NA,42.8,2,15,0,9.4,12.9,17.2,6,2018-01,0,10,0,412,2,1034.4(01),1022.2,0,9,20,0,0,996.7(06),66,1023.1,100,NA
6155A,58.4(28),0,6.3,5,7.3,22.2(17),13.7,0,22/18.9(28),1,59,0,5,1.4(05),1,NA,65.8,0,16,0,13,12.4,17.4,4,2018-02,0,5,0,379,4,1024.4(15),1013.8,0,8,16,0,0,997.5(28),60,1014.7,89,NA
6155A,46.0(02),0,4.7,8,10.3,24.8(28),13.8,0,20/23.6(02),7,39,0,19,7.0(21),2,NA,193.4,1,15,0,15.3,14.8,19.2,14,2018-03,0,19,0,332,8,1025.6(26),1011.6,0,4,19,0,0,990.8(01),65,1012.4,111,NA
6155A,15.7(13),0,7.2,3,11.7,27.0(27),16,0,21/16.9(10),1,55,0,9,7.4(01),0,NA,39.9,2,13,0,13,16.4,21.1,6,2018-04,0,9,0,305,6,1024.0(17),1013.4,0,3,21,0,0,999.2(10),63,1014.2,122,NA
6155A,9.9(01),0,10.1,0,14.4,28.7(09),19.5,0,32/13.9(09),0,71,0,5,9.6(02),0,NA,15,2,15,0,19.8,19.4,24.3,4,2018-05,0,6,0,317,1,1019.7(13),1013.8,0,11,19,0,0,1008.7(04),57,1014.6,137,NA
6155A,0.0(--),0,11.7,0,18.8,34.1(28),22.3,8,29/14.4(02),0,80,0,0,12.9(03),0,NA,0,0,16,0,23.6,23.9,28.9,0,2018-06,0,0,0,347,0,1020.1(19),1014.1,0,11,19,0,0,1006.5(28),52,1014.9,161,NA
6155A,0.0(--),0,12.5,0,21.1,39.9(29),26.4,23,28/14.4(30),0,87,0,0,18.3(17),0,NA,0,0,17,0,27,27,32.8,0,2018-07,0,0,0,362,0,1019.7(06),1013.8,0,29,2,0,0,1009.3(20),50,1014.6,179,NA
6155A,0.0(--),0,11.1,0,22.8,36.5(14),25.6,27,99/11.4(14),0,82,0,0,20.8(22),0,NA,0,1,14,0,29.3,27.2,31.5,0,2018-08,0,0,0,275,0,1020.0(10),1014.6,0,19,12,0,0,1008.9(07),62,1015.4,229,NA
6155A,5.4(08),1,7.7,2,21.5,34.2(24),24,8,13/16.9(27),0,62,0,5,18.4(23),0,NA,8.1,0,12,0,24.5,25.5,29.4,2,2018-09,0,5,0,269,3,1025.2(26),1016.9,0,10,17,0,0,1009.1(03),NA,1017.2,NA,NA
6155A,52.0(30),0,5.6,2,15.7,33.8(07),21.6,2,30/16.4(14),7,50,0,13,7.7(31),2,NA,162,3,13,0,14.2,19.9,24,11,2018-10,0,13,0,298,7,1025.3(23),1013.5,0,7,17,0,0,1000.8(30),NA,1013.7,NA,NA
6155A,30.3(18),0,3.5,5,11.3,22.1(07),15.3,0,23/17.5(05),3,34,0,12,5.2(29),1,NA,76.8,0,13,0,15.6,15.3,19.2,10,2018-11,0,12,0,305,6,1024.4(28),1015.5,0,2,21,1,0,1000.5(19),76,1016.4,133,NA
6155A,1.9(13),1,6.1,3,8.5,23.0(04),12.6,0,30/19.7(13),0,63,0,2,3.5(24),0,NA,2,0,12,0,15.2,13.8,19,1,2018-12,0,2,0,331,1,1033.3(21),1025.2,0,4,26,0,0,1011.7(13),72,1026,114,NA
6155A,58.4(28/feb),3,7.7,39,14.3,39.9(29/jul),26.4,68,10/26.4(28/ene),21,61,1,79,1.4(05/feb),6,NA,605.8,11,14,0,9.4,19,23.7,58,2018-13,0,81,0,328,38,1034.4(01/ene),1015.7,0,117,209,1,0,990.8(01/mar),NA,1016.4,NA,NA
6155A,2.8(19),1,6.1,5,7.5,23.5(25),14.2,0,30/17.5(29),0,61,0,3,1.9(13),0,NA,3.8,0,17,0,14.5,12.9,18.2,1,2019-01,0,3,0,405,4,1033.6(05),1020.3,0,11,16,0,0,1006.7(31),61,1021.1,92,NA
6155A,5.6(01),0,7.5,3,8.1,24.9(07),13.3,0,31/19.7(01),0,69,0,1,2.6(05),0,NA,5.6,0,16,0,15.5,13.1,18.1,1,2019-02,0,1,0,363,0,1033.3(25),1024.4,0,8,20,0,0,999.7(01),66,1025.2,105,NA
6155A,10.9(30),0,8.6,2,10.7,27.8(17),15,0,11/18.1(27),1,72,0,5,6.6(09),0,NA,20.4,0,17,0,17.9,15.9,21,3,2019-03,0,6,0,382,4,1032.0(09),1021.4,0,12,15,0,0,1008.9(31),61,1022.3,113,NA
6155A,10.6(05),0,NA,2,11.7,27.2(15),15.8,0,25/16.1(21),1,NA,0,11,9.4(02),0,NA,37.2,1,14,0,18,16.7,21.6,8,2019-04,0,11,0,318,2,1025.2(27),1013.2,0,6,22,0,0,999.5(23),NA,1014,117,NA
6155A,0.0(--),0,11.9,2,16.5,32.7(24),21.1,3,29/19.7(17),0,84,0,0,12.9(02),0,NA,0,0,17,0,21.5,21.1,25.8,0,2019-05,0,0,0,363,1,1024.0(30),1014.2,0,12,18,0,0,1007.1(24),56,1015,146,NA
6155A,0.0(--),0,12.1,2,18.6,34.5(19),22.5,12,03/18.9(12),0,83,0,0,14.7(04),0,NA,0,0,16,0,24.3,23.8,28.9,0,2019-06,0,0,0,348,0,1021.2(01),1014,0,16,14,0,0,1006.8(11),52,1014.9,158,NA
6155A,0.0(--),0,11.2,0,22,39.1(15),25.3,23,32/14.4(27),0,78,0,0,19.8(18),0,NA,0,0,15,0,27.8,27.1,32.2,0,2019-07,0,0,0,324,0,1018.5(21),1012.4,0,21,10,0,0,1007.8(28),54,1013.2,199,NA
6155A,0.0(--),0,10.8,1,22.3,40.6(07),25,19,27/15.3(12),0,80,0,0,20.4(30),0,NA,0,0,15,0,28.4,27.1,31.8,0,2019-08,0,0,0,323,0,1019.7(29),1014.2,0,20,11,0,0,1008.4(06),59,1015,215,NA
6155A,59.7(13),1,8.2,2,20.4,35.6(25),23.8,7,26/24.2(14),1,67,0,2,16.1(24),1,NA,60.3,1,13,0,25.3,24.6,28.7,1,2019-09,0,3,0,282,5,1021.5(12),1016,0,9,16,1,0,1011.5(10),67,1016.8,203,NA
6155A,4.8(19),1,8.6,0,15.8,35.2(01),22.2,3,29/15.0(15),0,76,0,2,10.3(23),0,NA,5.1,0,14,0,21.1,21,26.2,1,2019-10,0,4,0,335,1,1023.7(25),1016.5,0,9,21,0,0,1008.0(19),60,1017.3,150,NA
6155A,12.9(22),0,5.7,7,12.6,27.6(01),20.6,0,33/20.6(14),2,55,0,5,6.6(17),0,NA,30.2,0,18,0,13.2,16.6,20.5,4,2019-11,0,7,0,405,5,1023.1(09),1014.6,0,3,22,0,0,998.4(22),61,1015.4,117,NA
6155A,20.6(19),0,5.4,5,10.7,23.9(23),15.8,0,28/17.5(12),2,55,0,6,5.7(31),0,NA,42,0,15,0,15.8,15.1,19.3,4,2019-12,0,7,0,341,5,1033.6(31),1019.7,0,5,21,0,0,1000.4(17),68,1020.5,118,NA
6155A,59.7(13/sep),3,NA,31,14.7,40.6(07/ago),25.3,67,26/24.2(14/sep),7,NA,0,35,1.9(13/ene),1,NA,204.6,2,16,0,13.2,19.6,24.4,23,2019-13,0,42,0,349,27,1033.6(05/ene),1016.7,0,132,206,1,0,998.4(22/nov),NA,1017.6,144,NA
6155A,70.6(24),0,5.2,3,7.8,23.5(31),13,0,11/16.4(23),4,53,0,7,4.5(08),2,NA,142,3,14,0,11.2,12.6,17.4,5,2020-01,0,7,0,360,8,1033.2(02),1024.6,0,5,18,0,0,1010.7(21),72,1025.5,107,NA
6155A,2.2(18),2,7.2,2,10.4,25.7(25),15.1,0,29/15.3(01),0,67,0,1,6.6(29),0,NA,2.2,0,14,0,16.4,15.6,20.6,1,2020-02,0,1,0,329,4,1034.0(23),1025.4,0,7,18,1,0,1015.6(29),71,1026.2,124,NA
6155A,35.7(20),0,5.8,7,11.9,26.8(12),15.4,0,30/18.6(06),5,49,0,12,7.6(08),3,NA,149.3,1,18,0,13.8,16.2,20.4,9,2020-03,0,14,0,399,12,1026.6(10),1016.5,0,2,17,0,0,1003.7(31),65,1017.3,117,NA
6155A,9.5(14),0,5.3,2,12.9,27.0(29),15.9,0,32/15.3(19),0,41,0,8,8.9(02),0,NA,26.7,1,14,0,16.8,16.9,20.9,5,2020-04,0,9,0,304,12,1025.1(07),1015.2,0,2,16,0,0,1006.2(19),71,1016.1,141,NA
6155A,19.8(11),0,9.9,0,15.9,32.0(20),19.8,4,28/14.4(01),1,70,0,7,10.6(13),0,NA,31.8,1,13,0,20.5,20.8,25.6,3,2020-05,0,7,0,293,0,1025.2(24),1015.8,0,9,22,0,0,1004.7(13),61,1016.6,158,NA
6155A,1.4(04),0,12.1,NA,19.1,34.3(15),22.7,12,NA,0,83,NA,1,14.2(01),0,NA,1.4,0,16,0,24.3,24.3,29.4,1,2020-06,0,1,0,NA,0,1021.3(20),1014,0,16,14,0,0,1006.4(03),52,1014.7,165,NA
6155A,0.2(21),0,11.4,0,22.2,40.3(02),25.4,21,06/13.3(03),0,80,0,1,19.6(01),0,NA,0.2,1,14,0,28.7,26.8,31.2,0,2020-07,0,1,0,297,0,1020.9(04),1014.1,0,24,7,0,0,1009.9(01),63,1014.9,232,NA
6155A,0.9(10),1,11.3,0,22.8,43.7(02),25.8,28,30/14.4(29),0,83,0,1,19.6(21),0,NA,0.9,0,15,0,27.6,28.2,33.5,0,2020-08,0,1,0,323,0,1018.9(08),1012.6,0,16,15,0,0,1004.1(28),54,1013.4,206,NA
6155A,5.7(17),0,8.4,3,19.7,35.5(24),24.4,8,08/18.6(18),0,68,0,2,14.9(28),0,NA,7.9,0,14,0,25.2,24.2,28.7,2,2020-09,0,3,0,322,2,1022.2(04),1016.3,0,7,21,0,0,1010.5(27),62,1017.1,191,NA
6155A,17.0(22),0,8.1,4,13.8,33.2(01),18.2,1,30/16.4(02),1,72,0,5,9.6(17),0,NA,25.8,0,14,0,18.4,19,24.2,3,2020-10,0,6,0,331,2,1026.2(24),1017.7,0,10,19,0,0,1001.1(02),61,1018.5,135,NA
6155A,34.9(25),3,5.1,2,12.7,28.5(16),16.9,0,08/20.6(05),3,49,0,7,8.4(24),1,NA,66.8,1,11,0,16.6,16.8,20.8,5,2020-11,0,7,0,268,5,1029.3(19),1019.8,0,3,22,0,0,1004.2(27),80,1020.6,155,NA
6155A,2.5(16),1,5.9,3,9,23.5(11),17.3,0,30/17.5(05),0,61,0,5,3.3(27),0,NA,5.2,0,14,0,12.8,13.6,18.2,1,2020-12,0,7,0,336,4,1029.8(21),1017.1,0,7,20,0,0,998.9(04),71,1017.9,114,NA
6155A,70.6(24/ene),7,8,NA,14.9,43.7(02/ago),25.8,74,NA,14,65,NA,57,3.3(27/dic),6,NA,460.2,8,14,0,11.2,19.6,24.2,35,2020-13,0,64,0,NA,49,1034.0(23/feb),1017.4,0,108,209,1,0,998.9(04/dic),65,1018.2,154,NA
6155A,56.4(07),NA,5.8,5,7.9,26.0(29),15.9,0,08/24.2(08),5,58,0,8,1.6(13),2,NA,151.2,NA,16,0,8.6,12.4,17,7,2021-01,NA,NA,NA,385,6,1029.6(16),1017.9,0,10,15,0,0,995.7(08),70,1018.7,103,NA
6155A,9.1(21),3,5.4,2,10.4,22.6(02),14.1,0,29/16.1(02),0,50,0,5,5.9(18),0,NA,13.2,0,14,0,16,14.7,19,3,2021-02,0,5,0,330,7,1033.5(15),1018.5,0,1,20,2,0,1001.1(05),72,1019.3,122,NA
6155A,25.8(18),0,7.5,2,9.9,24.5(24),14.8,0,29/16.9(12),1,62,0,4,4.3(21),0,NA,31.4,1,15,0,15.5,14.9,19.7,2,2021-03,0,5,0,326,6,1027.4(11),1019.4,0,8,17,0,0,1008.3(20),71,1020.3,124,NA
6155A,11.7(15),1,6.1,1,13.6,27.1(20),16.9,0,35/18.1(27),3,47,0,9,10.4(06),0,NA,60.8,1,15,0,16.3,17.6,21.4,8,2021-04,0,9,0,322,6,1023.6(12),1013.8,0,1,23,0,0,1005.0(27),72,1014.7,147,NA
6155A,25.3(23),1,9.7,2,15.5,35.6(16),22.1,5,29/15.3(10),1,69,0,6,10.8(02),0,NA,42.3,2,16,0,20.1,20.4,25.1,4,2021-05,0,6,0,344,4,1023.7(20),1015.9,0,8,19,0,0,1008.6(09),62,1016.7,151,NA
6155A,0.9(05),0,10.9,0,18.9,36.2(28),23.9,8,25/15.0(22),0,74,0,2,16.1(03),0,NA,1.6,1,15,0,23.5,23.9,28.8,0,2021-06,0,2,0,330,0,1022.4(05),1015.1,0,15,15,0,0,1008.3(16),56,1015.9,173,NA
6155A,0.0(--),1,11.6,1,22.1,42.6(24),27.2,16,30/15.3(12),0,80,0,0,19.1(02),0,NA,0,0,16,0,26.1,27.3,32.4,0,2021-07,0,0,0,357,0,1020.3(08),1013.6,0,24,7,0,0,1006.3(24),55,1014.4,195,NA
6155A,0.0(--),0,9.4,0,23,38.6(07),27.5,26,26/15.0(08),0,70,0,0,18.9(02),0,NA,0,1,15,0,29.2,27.5,32,0,2021-08,0,0,0,314,1,1019.7(13),1013.3,0,14,16,0,0,1005.1(06),63,1014.1,232,NA
6155A,4.8(13),1,8.9,0,20.5,36.2(10),23.5,7,29/13.9(10),0,72,0,4,16.2(28),0,NA,9.3,0,14,0,26.2,24.9,29.3,3,2021-09,0,4,0,292,3,1024.0(30),1015.4,0,10,17,0,0,1009.2(14),66,1016.2,208,NA
6155A,0.7(03),1,8.4,1,16.3,29.7(03),19.5,0,29/16.9(03),0,74,0,1,13.2(25),0,NA,0.7,0,12,0,23.4,21.1,25.8,0,2021-10,0,3,0,273,0,1024.9(19),1018,0,4,27,0,0,1010.6(03),70,1018.8,174,NA
6155A,2.2(21),0,7.1,6,10.3,29.6(01),18.3,0,09/22.8(19),0,69,0,5,5.4(27),0,NA,5.6,0,17,0,14.6,15.4,20.4,2,2021-11,0,5,0,406,1,1026.3(30),1015.9,0,13,16,0,0,1007.6(25),59,1016.7,106,NA
6155A,24.1(24),2,5.1,9,10.7,23.2(11),14.2,0,30/22.8(10),1,52,0,6,5.1(01),0,NA,37.2,0,17,0,15,14.8,18.8,5,2021-12,0,6,0,398,7,1028.0(31),1021.1,0,9,15,1,0,1008.4(25),70,1022,118,NA
6155A,56.4(07/ene),NA,8,29,14.9,42.6(24/jul),27.5,62,08/24.2(08/ene),11,65,0,50,1.6(13/ene),2,NA,353.3,NA,15,0,8.6,19.6,24.1,34,2021-13,NA,NA,NA,340,41,1033.5(15/feb),1016.5,0,117,207,3,0,995.7(08/ene),66,1017.3,154,NA
6155A,2.1(24),3,5.2,5,9,24.5(31),14,0,28/18.6(10),0,52,0,7,4.4(08),0,NA,6.3,0,17,0,14.8,13.2,17.3,3,2022-01,0,8,0,439,5,1033.6(17),1025.3,0,5,21,2,0,1014.1(06),67,1026.2,102,NA
6155A,2.0(24),0,5.9,3,10.3,24.1(03),15,0,30/16.1(16),0,55,0,1,4.7(02),0,NA,2,0,16,0,16.2,14.9,19.5,1,2022-02,0,2,0,364,8,1031.0(09),1023.4,0,5,15,0,0,1014.2(19),62,1024.3,106,NA
6155A,46.8(15),1,4.1,6,10.9,23.8(03),14.6,0,11/22.2(25),6,34,0,16,6.1(06),5,NA,221.8,3,15,0,14.8,14.9,18.9,13,2022-03,0,17,0,362,12,1028.4(01),1014.9,0,1,17,0,0,1002.6(14),72,1015.7,123,NA
6155A,7.7(22),2,8.3,6,12.1,33.1(17),15.3,1,21/18.9(22),0,63,0,5,7.4(03),0,NA,21.1,1,16,0,14.9,17,21.9,5,2022-04,0,7,0,349,4,1024.5(29),1013.4,0,5,21,0,0,1001.9(22),64,1014.2,125,NA
6155A,5.9(03),0,11.1,0,16.3,34.7(23),22.6,7,29/15.0(23),0,78,0,3,12.0(01),0,NA,12,0,15,0,19.3,21.7,27.1,2,2022-05,0,3,0,328,2,1023.2(10),1015.7,0,9,20,0,0,1005.2(29),54,1016.5,147,NA
6155A,0.0(--),0,11.7,0,20.5,37.8(08),24.3,25,29/15.0(08),0,80,0,0,17.1(06),0,NA,0,0,16,0,26.1,26.1,31.7,0,2022-06,0,0,0,367,2,1019.6(11),1013.7,0,16,12,0,0,1007.0(19),46,1014.5,162,NA
6155A,0.3(02),3,11.4,0,22.1,40.7(26),26.1,26,12/14.4(01),0,79,0,1,18.1(01),0,NA,0.3,0,13,0,26.4,26.8,31.5,0,2022-07,0,1,0,280,0,1021.8(07),1015.6,0,20,11,0,0,1009.3(28),58,1016.4,214,NA
6155A,1.3(28),1,10.7,0,22.9,39.2(13),26.3,28,29/12.8(16),0,79,0,3,19.2(21),0,NA,1.7,2,15,0,28.3,27.6,32.3,1,2022-08,0,3,0,298,1,1018.3(20),1012.6,0,22,8,0,0,1005.8(14),58,1013.4,220,NA
6155A,1.3(29),1,9.3,1,20.5,37.3(07),26.3,16,33/17.5(29),0,75,0,2,15.5(30),0,NA,1.6,1,14,0,27.2,25.8,31,1,2022-09,0,2,0,334,2,1019.8(30),1012.9,0,9,19,0,0,1006.3(12),53,1013.7,174,NA
6155A,1.8(10),2,6,0,17.1,30.8(16),20.4,1,30/11.4(18),0,53,0,3,12.7(01),0,NA,2.2,0,11,0,21.4,21.8,26.4,1,2022-10,0,5,0,240,7,1025.4(01),1018.6,0,6,18,0,0,1013.1(16),70,1019.4,182,NA
6155A,4.9(18),1,6.5,2,13,26.7(04),18.9,0,29/18.1(22),0,63,0,4,5.2(30),0,NA,9.4,0,15,0,17.6,18,22.9,3,2022-11,0,5,0,359,3,1029.4(26),1019.2,0,9,18,1,0,1012.3(17),66,1020.1,140,NA
6155A,45.6(09),1,4.7,2,10.5,24.0(12),16.4,0,08/18.6(05),4,48,0,13,5.2(31),2,NA,137.4,3,11,0,14.6,15.1,19.6,8,2022-12,0,13,0,276,6,1029.9(27),1016.7,0,6,19,0,0,1001.0(09),78,1017.6,135,NA
6155A,46.8(15/mar),15,7.9,25,15.4,40.7(26/jul),26.3,104,11/22.2(25/mar),10,63,0,58,4.4(08/ene),7,NA,415.8,10,15,0,14.6,20.2,25,38,2022-13,0,66,0,333,52,1033.6(17/ene),1016.8,0,113,199,3,0,1001.0(09/dic),62,1017.7,153,NA
6155A,10.8(24),0,6.5,5,8.3,22.1(09),14.6,0,30/20.6(16),1,65,0,3,1.1(29),0,NA,12.1,1,16,0,13.3,13.1,17.8,2,2023-01,0,3,0,396,1,1033.7(04),1022.9,0,6,24,0,0,1007.8(17),64,1023.7,100,NA
6155A,31.1(07),1,6.4,4,8.2,22.1(22),12.9,0,11/23.3(10),2,59,0,5,1.8(01),1,NA,55,0,18,0,13.9,12.8,17.4,5,2023-02,0,7,0,425,4,1032.6(10),1022.1,0,5,19,0,0,1006.4(25),65,1022.9,99,NA
6155A,6.9(06),1,8.9,4,10.7,31.3(31),20.1,2,29/19.7(11),0,74,0,2,2.8(03),0,NA,7,0,16,0,16.6,16.9,23,1,2023-03,0,2,0,368,2,1025.1(28),1018.2,0,9,20,0,0,1011.8(16),57,1019,112,NA
6155A,0.0(--),0,9.9,NA,13.4,34.3(29),18.7,2,NA,0,75,NA,0,6.4(08),0,NA,0,0,17,0,18.5,19.3,25,0,2023-04,0,2,0,NA,3,1022.7(01),1014.9,0,15,12,0,0,1005.0(21),56,1015.8,128,NA
6155A,27.2(21),1,8.6,0,16.1,32.0(15),19.3,1,07/15.0(18),3,61,0,7,11.7(19),0,NA,64.4,6,15,0,17.5,20.5,24.8,4,2023-05,1,7,0,310,4,1022.0(08),1014.3,0,5,22,0,0,1008.6(21),66,1015.1,163,NA
6155A,2.4(07),0,10.1,0,20.2,35.4(27),22.8,16,33/15.0(13),0,69,0,7,17.1(04),0,NA,9.2,5,14,0,23.2,24.8,29.3,4,2023-06,0,8,0,290,2,1020.5(23),1013.1,0,11,17,0,0,1008.1(18),58,1013.9,186,NA
6155A,0.0(--),0,11.3,0,24.6,44.2(19),31.6,29,29/13.3(21),0,79,0,0,20.0(28),0,NA,0,0,15,0,28.7,29.5,34.3,0,2023-07,0,0,0,332,0,1018.9(10),1013.4,0,16,15,0,0,1008.4(24),56,1014.2,234,NA
6155A,0.0(--),0,11.4,2,24.2,42.8(01),30.3,29,29/18.1(26),0,84,0,0,20.3(29),0,NA,0,0,16,0,29,28.9,33.4,0,2023-08,0,0,0,325,0,1019.9(11),1013.9,0,15,16,0,0,1007.1(02),57,1014.5,229,NA
